城市,公交名,首末班车时间,起始站,起始站经度,起始站纬度,终点站,终点站经度,终点站纬度,站点名,最高价,英文名,站数,经度,纬度,性质,线路ID,区号,区县编码,站点ID,总站数,发车间隔,线路总长度,基础价格,站点状态,ICCARD
上海,磁悬浮,,浦东国际机场,121.805591,31.150958,龙阳路,121.557855,31.20248,浦东国际机场,50,pu dong guo ji ji chang,1,121.805591,31.150958,地铁,310100104513,021,310115,310100104513002,2,15-30分钟,29.13118,50,1,1
上海,磁悬浮,,浦东国际机场,121.805591,31.150958,龙阳路,121.557855,31.20248,龙阳路,50,long yang lu,2,121.557855,31.20248,地铁,310100104513,021,310115,310100104513003,2,15-30分钟,29.13118,50,1,1
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,莘庄,6,shen zhuang,1,121.385379,31.111193,地铁,310100025686,021,310112,310100025686002,28,3-6分钟,36.81733,3,1,1
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,外环路,6,wai huan lu,2,121.39302,31.120899,地铁,310100025686,021,310112,310100025686003,28,3-6分钟,36.81733,3,1,1
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,莲花路,6,lian hua lu,3,121.402943,31.130986,地铁,310100025686,021,310112,310100025686004,28,3-6分钟,36.81733,3,1,1
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,锦江乐园,6,jin jiang le yuan,4,121.414107,31.142217,地铁,310100025686,021,310104,310100025686005,28,3-6分钟,36.81733,3,1,1
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,上海南站,6,shang hai nan zhan,5,121.430041,31.154579,地铁,310100025686,021,310104,310100025686006,28,3-6分钟,36.81733,3,1,1
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,漕宝路,6,cao bao lu,6,121.434704,31.168225,地铁,310100025686,021,310104,310100025686007,28,3-6分钟,36.81733,3,1,1
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,上海体育馆,6,shang hai ti yu guan,7,121.436272,31.182001,地铁,310100025686,021,310104,310100025686008,28,3-6分钟,36.81733,3,1,1
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,徐家汇,6,xu jia hui,8,121.438133,31.191698,地铁,310100025686,021,310104,310100025686009,28,3-6分钟,36.81733,3,1,1
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,衡山路,6,heng shan lu,9,121.446424,31.204528,地铁,310100025686,021,310104,310100025686010,28,3-6分钟,36.81733,3,1,1
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,常熟路,6,chang shu lu,10,121.451048,31.213382,地铁,310100025686,021,310104,310100025686011,28,3-6分钟,36.81733,3,1,1
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,陕西南路,6,shan xi nan lu,11,121.459957,31.217231,地铁,310100025686,021,310101,310100025686012,28,3-6分钟,36.81733,3,1,1
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,黄陂南路,6,huang bei nan lu,12,121.473306,31.222745,地铁,310100025686,021,310101,310100025686013,28,3-6分钟,36.81733,3,1,1
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,人民广场,6,ren min guang chang,13,121.475137,31.232781,地铁,310100025686,021,310101,310100025686014,28,3-6分钟,36.81733,3,1,1
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,新闸路,6,xin zha lu,14,121.468151,31.238373,地铁,310100025686,021,310101,310100025686015,28,3-6分钟,36.81733,3,1,1
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,汉中路,6,han zhong lu,15,121.458699,31.241883,地铁,310100025686,021,310106,310100025686016,28,3-6分钟,36.81733,3,1,1
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,上海火车站,6,shang hai huo che zhan,16,121.455684,31.247255,地铁,310100025686,021,310106,310100025686017,28,3-6分钟,36.81733,3,1,1
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,中山北路,6,zhong shan bei lu,17,121.459204,31.258891,地铁,310100025686,021,310106,310100025686018,28,3-6分钟,36.81733,3,1,1
